seller_id,sales_velocity_6m,sales_growth_rate,rto_rate,dispatch_sla_compliance,avg_customer_rating,rating_trend,order_cancellation_rate,ad_spend_roi,account_age_months,total_orders_6m,catalog_size,prior_loan_default,risk_class,loan_limit
SELL_00001,102589.18,18.58,14.09,91.69,3.9,0.091,7.03,2.08,55,5000,255,0,0,51294
SELL_00002,33643.67,10.51,9.5,76.52,4.06,-0.08,11.36,2.46,44,3915,164,0,0,16821
SELL_00003,110536.06,14.06,9.11,90.7,4.09,0.222,9.34,2.18,49,5000,339,0,0,55268
SELL_00004,102461.47,25.89,5.02,89.55,4.71,0.177,5.09,3.67,40,4925,214,0,0,56353
SELL_00005,29538.92,-0.9789351406740714,20.627316432935466,66.42685459703272,2.6994724543912043,-0.035,9.81,1.1568254096638453,11,1447,121,1,2,0
SELL_00006,20281.84,-1.29,10.38,80.92,3.22,0.006,9.88,1.45,3,734,24,0,1,5577
SELL_00007,112315.39,22.57,5.52,92.43,4.15,-0.071,5.93,2.93,59,5000,327,0,0,56157
SELL_00008,76339.37,18.99,8.86,85.76,4.04,-0.147,7.42,2.54,6,1960,67,0,0,38169
SELL_00009,37691.45,11.7,9.54,81.62,3.76,0.107,10.68,1.65,9,1300,66,0,1,10365
SELL_00010,45487.04,15.03,11.75,85.6,3.55,-0.036,9.26,1.93,6,1306,39,0,0,22743
SELL_00011,5000.0,10.17,9.2,78.42,3.46,-0.076,7.95,1.36,9,434,5,0,1,1375
SELL_00012,73539.35,11.84,16.17,77.54,3.14,0.186,10.14,1.75,39,4402,207,0,1,20223
SELL_00013,67140.13,7.08,11.47,84.41,3.62,0.016,9.17,3.15,31,3481,143,0,0,33570
SELL_00014,8767.56,-3.02,17.42,65.09,2.87,-0.261,12.05,1.02,32,1995,100,0,2,876
SELL_00015,5000.0,-1.54,17.91,67.35,2.5,-0.073,12.7,0.71,41,3165,97,0,2,500
SELL_00016,84032.51,18.15,14.52,77.16,3.49,-0.157,10.1,2.2,50,5000,225,0,1,23108
SELL_00017,26932.54,3.71,18.16,78.1,2.9,0.059,11.81,1.72,12,1111,79,0,2,1885
SELL_00018,45749.23,-0.44739626641300934,21.057345234099696,81.48901984389622,3.4032653276421683,0.169,8.81,1.9575448523568781,8,1226,61,1,2,0
SELL_00019,12388.99,-1.97,18.67,75.91,3.09,0.166,10.01,1.49,8,713,5,0,2,867
SELL_00020,27154.98,-13.06,22.58,66.43,3.35,-0.273,14.34,1.51,50,4562,215,0,2,1900
SELL_00021,89878.71,27.28,10.18,87.63,4.23,0.381,5.24,3.84,28,4203,223,0,0,49433
SELL_00022,36428.85,13.652626744135748,16.72488355990985,73.39063883123688,2.5432848299440893,0.056,10.55,1.4703384759178857,20,2177,89,1,2,0
SELL_00023,69581.85,-2.33,12.1,78.52,3.39,-0.191,8.66,1.75,47,4968,215,0,1,19135
SELL_00024,21665.54,7.86,16.98,68.23,2.68,-0.5,13.7,1.38,59,4551,181,0,2,2166
SELL_00025,37385.11,8.5,16.03,81.35,3.45,-0.185,13.89,2.5,7,889,71,0,1,10280
SELL_00026,36530.15,4.25,9.36,84.53,4.24,0.057,7.53,3.05,11,1391,65,0,0,18265
SELL_00027,5000.0,0.58,17.16,69.2,3.19,-0.073,10.98,0.82,20,1214,28,0,2,500
SELL_00028,47986.66,7.14,11.26,80.67,4.17,0.036,6.18,2.08,16,2042,114,0,1,13196
SELL_00029,14450.88,6.56,12.89,83.37,3.53,-0.08,10.45,1.92,4,285,5,0,1,3973
